,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
12,1958,TRON,TRX,tron,939,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87941506088.60408,87941643162.30502,True,,13,71659659264.0,10005592531.845106,,2024-03-05T12:06:00.000Z,0.13962657141563695,518956694.2737743,41.8056,-0.01421975,-1.08596089,-1.40153759,17.76235461,33.09355948,32.88575772,12278970980.279148,0.49,12278990119.41,,2024-03-05T12:06:00.000Z,,,,,,2024-03-05 14:07:53.083224
13,1975,Chainlink,LINK,chainlink,1669,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-05T12:06:00.000Z,20.75391402508408,848510845.4786651,50.2291,-0.09860132,1.33446159,7.74693502,14.13558314,45.64143389,33.31523398,12184622310.906538,0.4863,20753914025.08,,2024-03-05T12:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-05 14:07:53.083224
14,3890,Polygon,MATIC,polygon,1299,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9899164996.485016,10000000000.0,False,,15,,,,2024-03-05T12:06:00.000Z,1.1376054934378903,1269247125.6014416,82.8921,-0.16594215,3.92320356,8.69415164,45.67538576,33.98951016,38.91823142,11261344480.449429,0.4493,11376054934.38,,2024-03-05T12:06:00.000Z,,,,,,2024-03-05 14:07:53.083224
0,1,Bitcoin,BTC,bitcoin,10849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19645243.0,19645243.0,False,,1,,,,2024-03-05T12:08:00.000Z,66830.91945744435,75567199959.14107,68.8923,-0.01721835,2.66274211,18.0639155,55.19231325,52.75356039,51.89423886,1312909652654.9226,52.3091,1403449308606.33,,2024-03-05T12:08:00.000Z,,,,,,2024-03-05 14:08:56.326444
1,1027,Ethereum,ETH,ethereum,8499,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120127131.78995213,120127131.78995213,True,,2,,,,2024-03-05T12:08:00.000Z,3753.3689043684053,31919383703.44943,74.8427,0.74909181,7.18305056,15.24841121,62.76926429,67.55775838,66.07039611,450881441031.37164,17.9916,450881441031.37,,2024-03-05T12:08:00.000Z,,,,,,2024-03-05 14:08:56.326444
2,825,Tether USDt,USDT,tether,76965,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100044694548.97124,103800078701.87814,True,,3,,,,2024-03-05T12:07:00.000Z,1.0004901062580573,137997117736.98453,55.9702,0.01008303,-0.01059723,0.01104718,0.07126073,-0.02794288,0.05395017,100093727079.85512,3.9941,103850951770.04,,2024-03-05T12:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-05 14:08:56.326444
3,1839,BNB,BNB,bnb,2082,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149541380.71665552,149541380.71665552,False,,4,,,,2024-03-05T12:07:00.000Z,419.27662796516955,2507129770.1994205,39.0865,-0.26924892,0.38656004,5.23707244,39.73947889,31.38167139,81.85196735,62699205848.13496,2.5016,62699205848.13,,2024-03-05T12:07:00.000Z,,,,,,2024-03-05 14:08:56.326444
4,5426,Solana,SOL,solana,633,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,442315365.8012569,571041423.6356901,True,,5,,,,2024-03-05T12:08:00.000Z,131.72138146912047,4701705854.214932,44.7682,-0.05742845,-0.31061752,18.35183597,34.42585205,32.31364575,107.85686846,58262391028.36092,2.3213,75218365197.39,,2024-03-05T12:08:00.000Z,,,,,,2024-03-05 14:08:56.326444
5,52,XRP,XRP,xrp,1239,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-05T12:08:00.000Z,0.6511966926806917,3925740457.602075,46.4004,0.87126148,-0.7648894,16.49623739,26.91003591,14.23863476,4.6820914,35597036378.781075,1.4206,65119669268.07,,2024-03-05T12:08:00.000Z,,,,,,2024-03-05 14:08:56.326444
6,3408,USDC,USDC,usd-coin,17025,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28912802340.440247,28912802340.440247,False,,7,,,,2024-03-05T12:08:00.000Z,0.9998735243098249,12299641097.774418,64.9072,0.01415727,-0.01170319,0.03657397,-0.03030435,-0.04050454,-0.02505199,28909145573.80934,1.1518,28909145573.81,,2024-03-05T12:08:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-05 14:08:56.326444
7,2010,Cardano,ADA,cardano,1088,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35489305908.75,36671429496.447,False,,8,,,,2024-03-05T12:07:00.000Z,0.7721341358240821,1410072095.533738,6.7647,-0.31460133,-1.03169634,24.63723626,52.1264424,42.17943893,77.09045792,27402504548.84917,1.0936,34746036112.08,,2024-03-05T12:07:00.000Z,,,,,,2024-03-05 14:08:56.326444
8,74,Dogecoin,DOGE,dogecoin,905,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143339796383.70526,143339796383.70526,True,,9,,,,2024-03-05T12:08:00.000Z,0.18187335986718522,7879381882.244246,56.9205,-1.00539669,13.22169089,92.5217363,129.77867694,120.977001,80.90974338,26069690370.98268,1.0387,26069690370.98,,2024-03-05T12:08:00.000Z,,,,,,2024-03-05 14:08:56.326444
9,5994,Shiba Inu,SHIB,shiba-inu,752,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,10,,,,2024-03-05T12:07:00.000Z,4.038967055762536e-05,13882034957.692528,237.204,-1.36327918,53.85115832,291.12936136,346.18555874,316.58349458,299.79934682,23801205165.82174,0.9496,23811087535.87,,2024-03-05T12:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-05 14:08:56.326444
10,5805,Avalanche,AVAX,avalanche,677,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377259513.3511436,435949153.3511436,False,,11,,,,2024-03-05T12:07:00.000Z,42.98049781643347,901153547.3015109,55.5412,-0.13876841,-1.17081174,8.74588707,19.37351122,17.80915079,66.48803991,16214801689.817581,0.6471,30945958427.83,,2024-03-05T12:07:00.000Z,,,,,,2024-03-05 14:08:56.326444
11,6636,Polkadot,DOT,polkadot-new,699,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1285984702.5347488,1418245204.2431004,True,,12,,,,2024-03-05T12:07:00.000Z,10.513354767310439,1020662333.2973946,27.6975,-0.69947815,5.03318737,29.88624298,54.4914871,41.02350712,76.07933972,13520013403.081997,0.5394,14910514979.24,,2024-03-05T12:07:00.000Z,,,,,,2024-03-05 14:08:56.326444
12,1958,TRON,TRX,tron,939,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87941506088.60408,87941643162.30502,True,,13,71659659264.0,10009326154.716297,,2024-03-05T12:07:00.000Z,0.13967867357338565,518958222.23853934,41.7905,0.00753414,-1.02203909,-1.35383855,17.81973168,33.22228982,32.82585044,12283552922.502035,0.4902,12283572068.77,,2024-03-05T12:07:00.000Z,,,,,,2024-03-05 14:08:56.326444
13,1975,Chainlink,LINK,chainlink,1669,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-05T12:07:00.000Z,20.78921308452761,848510845.4786651,50.2283,0.02981432,1.53699822,7.95400752,14.47944713,46.28273834,33.28287054,12205346387.662846,0.4871,20789213084.53,,2024-03-05T12:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-05 14:08:56.326444
